id_provincia,id_canton,id_distrito,nombre
1,1,1,Carmen
1,1,2,Merced
1,1,3,Hospital
1,1,4,Catedral
1,1,5,"San Francisco de Dos Ríos"
1,1,6,Uruca
1,1,7,"Mata Redonda"
1,1,8,Pavas
1,1,9,"San Sebastián"
1,1,10,Zapote
1,1,11,Hatillo
1,2,1,Escazú
1,2,2,"San Antonio"
1,2,3,"San Rafael"
1,3,1,Desamparados
1,3,2,"San Miguel"
1,3,3,"San Juan de Dios"
1,3,4,"San Rafael Arriba"
1,3,5,Frailes
1,3,6,Patarrá
1,3,7,"San Cristóbal"
1,3,8,Rosario
1,3,9,Damas
1,3,10,"San Rafael Abajo"
1,3,11,Gravilias
1,3,12,"Los Guido"
1,3,13,"San Antonio"
1,4,1,Santiago
1,4,2,"Mercedes Sur"
1,4,3,Barbacoas
1,4,4,"Grifo Alto"
1,4,5,"San Rafael"
1,4,6,Candelarita
1,4,7,Desamparaditos
1,4,8,"San Antonio"
1,4,9,Chires
1,5,1,"San Marcos"
1,5,2,"San Lorenzo"
1,5,3,"San Carlos"
1,6,1,Aserrí
1,6,2,Tarbaca
1,6,3,"Vuelta de Jorco"
1,6,4,"San Gabriel"
1,6,5,Legua
1,6,6,Monterrey
1,6,7,Salitrillos
1,7,1,Colón
1,7,2,Guayabo
1,7,3,Tabarcia
1,7,4,"Piedras Negras"
1,7,5,Picagres
1,7,6,Jaris
1,7,7,Quitirrisí
1,8,1,Guadalupe
1,8,2,"Calle Blancos"
1,8,3,"San Francisco"
1,8,4,"Mata de Plátano"
1,8,5,"San Francisco"
1,8,6,"Calle Blancos"
1,8,7,Ipís
1,8,8,"Rancho Redondo"
1,8,9,Purral
1,9,1,"Santa Ana"
1,9,2,Salitral
1,9,3,Pozos
1,9,4,Uruca
1,9,5,Piedades
1,9,6,Brasil
1,10,2,"San Josecito"
1,10,3,"San Antonio"
1,10,4,Concepción
1,10,5,"San Felipe"
1,11,1,"San Ignacio"
1,11,2,Guaitil
1,11,3,Palmichal
1,11,4,Cangrejal
1,11,5,Sabanillas
1,12,1,"San Juan"
1,12,2,"Cinco Esquinas"
1,12,3,"Anselmo Llorente"
1,12,4,"León XIII"
1,12,5,Colima
1,13,1,"San Vicente"
1,13,2,"San Jerónimo"
1,13,3,"La Trinidad"
1,14,1,"San Pedro"
1,14,2,Sabanilla
1,14,3,Mercedes
1,14,4,"San Rafael"
1,15,1,"San Pablo"
1,15,2,"San Pedro"
1,15,3,"San Juan de Mata"
1,15,4,"San Luis"
1,15,5,Carara
1,16,1,"Santa María"
1,16,2,Jardín
1,16,3,Copey
1,17,1,Curridabat
1,17,2,Granadilla
1,17,3,Sánchez
1,17,4,Tirrases
1,18,1,"San Isidro de El General"
1,18,2,"El General"
1,18,3,"Daniel Flores"
1,18,4,Rivas
1,18,5,"San Pedro"
1,18,6,Platanares
1,18,7,Pejibaye
1,18,8,Cajón
1,18,9,Barú
1,18,10,"Río Nuevo"
1,18,11,Páramo
1,18,12,"La Amistad"
1,21,1,"San Isidro"
1,21,2,"San Rafael"
1,21,3,"Dulce Nombre de Jesús"
1,21,4,Patalillo
1,21,5,Cascajal
1,22,1,"San Pablo"
1,22,2,"San Andrés"
1,22,3,"Llano Bonito"
1,22,4,"San Isidro"
1,22,5,"Santa Cruz"
1,22,6,"San Antonio"
2,1,1,heredia
2,1,2,Mercedes
2,1,3,"San Francisco"
2,1,4,Ulloa
2,1,5,Varablanca
2,2,1,Barva
2,2,2,"San Pedro"
2,2,3,"San pablo"
2,2,4,"San Roque"
2,2,5,"Santa Lucia"
2,2,6,"San José de la Montaña"
2,4,1,"Santa Bárbara"
2,4,2,"San pedro"
2,4,3,"San Juan"
2,4,4,Jesús
2,4,5,"Santo Domingo"
2,4,6,Purabá
2,7,1,"San isidro"
2,7,2,"San José"
2,7,3,Concepción
2,7,4,"San Francisco"
2,8,1,"San Rafael"
2,8,2,"San Josecito"
2,8,3,Santiago
2,8,4,Ángeles
2,8,5,Concepción
2,9,1,"San Joaquin"
2,9,2,Barrantes
2,9,3,Llorente
2,10,1,"Puerto Viejo"
2,10,2,"La virgen"
2,10,3,"Las Horquetas"
2,10,4,"Llanuras del Gaspar"
2,10,5,Cureña
2,13,1,"San pablo"
2,13,2,"Rincón de Sabanilla"
2,14,1,"Santo Domingo"
2,14,2,Pará
2,14,3,Paracito
2,14,4,"San Miguel"
2,14,5,"San Vicente"
2,14,6,"Santa Rosa"
2,14,7,"Santo Tomás"
2,14,8,Tures
3,1,2,"San José"
3,1,3,"San José"
3,1,4,"San Roque"
3,1,5,Tacares
3,1,6,"Puente de Piedra"
3,1,7,Sabanilla
3,1,8,"San Rafael"
3,1,9,"Río Segundo"
3,1,10,Desamparados
3,1,11,Turrúcares
3,1,12,Tambor
3,1,13,Garita
3,1,14,Sarapiquí
3,2,1,Quesada
3,3,1,Grecia
3,3,2,"San Isidro"
3,4,1,"San Mateo"
3,4,2,Desmonte
3,4,3,"Jesús María"
3,4,4,Labrador
3,5,1,Atenas
3,5,2,Jesús
3,5,3,Mercedes
3,5,4,"San Isidro"
3,5,5,Concepción
3,5,6,"San José"
3,5,7,"Santa Eulalia"
3,5,8,Escobal
3,6,1,Naranjo
3,6,2,"San Miguel"
3,6,3,"San José"
3,6,4,"Cirrí Sur"
3,6,5,"San Jerónimo"
3,6,6,"San Juan"
3,6,7,"El Rosario"
3,7,2,Zaragoza
3,7,3,"Buenos Aires"
3,7,4,Santiago
3,7,5,Candelaria
3,7,6,Esquipulas
3,7,7,"La Granja"
3,7,8,Palmitos
3,8,1,"San Pedro"
3,8,2,"San Juan"
3,8,3,"San Rafael"
3,8,4,Carrillos
3,8,5,"Sabana Redonda"
3,9,1,Orotina
3,9,2,Florencia
3,9,3,"Buena Vista"
3,9,4,"Aguas Zarcas"
3,9,5,Venecia
3,9,6,Pital
3,9,7,"La Fortuna"
3,9,8,"La Tigra"
3,9,9,"La Palmera"
3,9,10,Venado
3,9,11,Cutris
3,9,12,Monterrey
3,9,13,Pocosol
3,11,1,Zarcero
3,11,2,Laguna
3,11,3,Tapesco
3,11,4,Guadalupe
3,11,5,Palmira
3,11,6,Zapote
3,11,7,Brisas
3,12,1,"Sarchí Norte"
3,12,2,"Sarchí Sur"
3,12,3,"Toro Amarillo"
3,12,4,"San Pedro"
3,12,5,Rodrígez
3,13,1,Upala
3,13,2,"Aguas Claras"
3,13,3,"San José"
3,13,4,Bijagua
3,13,5,Delicias
3,13,6,"Dos Ríos"
3,13,7,Yolillal
3,13,8,Canalete
3,14,1,"Los Chiles"
3,14,2,"Caño Negro"
3,14,3,"El Amparo"
3,14,4,"San Jorge"
3,15,1,"San Rafael"
3,15,2,Buenavista
3,15,3,cote
3,15,4,Katira
3,16,1,"Río Cuarto"
